Caracas,10.5000,-66.9333,Venezuela,VE,Distrito Capital,primary,1943901,1943901
El Dividive,9.4751,-70.7349,Venezuela,VE,Trujillo,minor,,
Ejido,8.5467,-71.2409,Venezuela,VE,Mérida,minor,,
San Rafael de Onoto,9.6752,-68.9727,Venezuela,VE,Portuguesa,minor,,
Independencia,10.3297,-68.7528,Venezuela,VE,Yaracuy,minor,,
Cocorote,10.3198,-68.7839,Venezuela,VE,Yaracuy,minor,,
Pampanito,9.4115,-70.4959,Venezuela,VE,Trujillo,minor,,
Mamporal,10.3667,-66.1333,Venezuela,VE,Miranda,minor,,
Colón,8.0312,-72.2605,Venezuela,VE,Táchira,minor,,
Barinitas,8.7617,-70.4120,Venezuela,VE,Barinas,minor,,
Higuerote,10.4833,-66.1000,Venezuela,VE,Miranda,minor,,
El Toro,10.9579,-71.6451,Venezuela,VE,Zulia,minor,,
Marigüitar,10.4479,-63.9016,Venezuela,VE,Sucre,minor,,
Zea,8.3791,-71.7846,Venezuela,VE,Mérida,minor,,
Píritu,9.8824,-65.0408,Venezuela,VE,Anzoátegui,minor,,
Paraíso de Chabasquén,9.4333,-69.9473,Venezuela,VE,Portuguesa,minor,,
Obispos,8.6061,-70.1044,Venezuela,VE,Barinas,minor,,
Campo Elías,9.3946,-70.0587,Venezuela,VE,Trujillo,minor,,
Biscucuy,9.3600,-69.9830,Venezuela,VE,Portuguesa,minor,,
Las Mesas,8.1712,-72.1595,Venezuela,VE,Táchira,minor,,
Valle de Guanape,9.9100,-65.6741,Venezuela,VE,Anzoátegui,minor,,
Macapo,9.8253,-68.4387,Venezuela,VE,Cojedes,minor,,
Bobures,9.2417,-71.1751,Venezuela,VE,Zulia,minor,,
Güiria,10.5772,-62.2984,Venezuela,VE,Sucre,minor,,
Lagunillas,8.5046,-71.3894,Venezuela,VE,Mérida,minor,,
Boconoito,8.8466,-69.9803,Venezuela,VE,Portuguesa,minor,,
Santa Ana,7.6422,-72.2769,Venezuela,VE,Táchira,minor,,
Pueblo Llano,8.9148,-70.6592,Venezuela,VE,Mérida,minor,,
La Vela de Coro,11.4592,-69.5678,Venezuela,VE,Falcón,minor,,
Santa Elena de Arenales,8.8193,-71.4661,Venezuela,VE,Mérida,minor,,
San Rafael de El Moján,10.9667,-71.7333,Venezuela,VE,Zulia,minor,,
Río Caribe,10.6977,-63.1087,Venezuela,VE,Sucre,minor,,
Sabana de Mendoza,9.4364,-70.7750,Venezuela,VE,Trujillo,minor,,
Sabana Grande,9.4018,-70.7981,Venezuela,VE,Trujillo,minor,,
Santa Isabel,9.6316,-70.8084,Venezuela,VE,Trujillo,minor,,
Araya,10.5800,-64.2555,Venezuela,VE,Sucre,minor,,
Yaracal,10.9750,-68.5461,Venezuela,VE,Falcón,minor,,
Chejendé,9.6186,-70.3568,Venezuela,VE,Trujillo,minor,,
Punta de Piedras,10.9012,-64.0969,Venezuela,VE,Nueva Esparta,minor,,
Boca de Río,10.9676,-64.1805,Venezuela,VE,Nueva Esparta,minor,,
La Quebrada,9.1552,-70.5770,Venezuela,VE,Trujillo,minor,,
Arapuey,9.2593,-70.9525,Venezuela,VE,Mérida,minor,,
Yaguaraparo,10.5684,-62.8263,Venezuela,VE,Sucre,minor,,
Seboruco,8.1456,-72.0725,Venezuela,VE,Táchira,minor,,
Nueva Bolivia,9.1401,-71.0914,Venezuela,VE,Mérida,minor,,
San Antonio del Golfo,10.4420,-63.7887,Venezuela,VE,Sucre,minor,,
Los Puertos de Altagracia,10.7149,-71.5217,Venezuela,VE,Zulia,minor,,
La Fría,8.2189,-72.2483,Venezuela,VE,Táchira,minor,,
Tocópero,11.4990,-69.2589,Venezuela,VE,Falcón,minor,,
Boconó,9.2461,-70.2617,Venezuela,VE,Trujillo,minor,,
San Sebastián,9.9468,-67.1806,Venezuela,VE,Aragua,minor,,
San Casimiro,10.0000,-66.9167,Venezuela,VE,Aragua,minor,,
Sinamaica,11.0854,-71.8541,Venezuela,VE,Zulia,minor,,
Santa Cruz de Mora,8.3992,-71.6408,Venezuela,VE,Mérida,minor,,
Aragua,9.9703,-63.4873,Venezuela,VE,Monagas,minor,,
Irapa,10.5701,-62.5820,Venezuela,VE,Sucre,minor,,
Píritu,9.3708,-69.2103,Venezuela,VE,Portuguesa,minor,,
Villa Bruzual,9.3307,-69.1207,Venezuela,VE,Portuguesa,minor,,
Lobatera,7.9167,-72.2667,Venezuela,VE,Táchira,minor,,
Cumanacoa,10.2506,-63.9194,Venezuela,VE,Sucre,minor,,
Concepción,10.4119,-71.6892,Venezuela,VE,Zulia,minor,,
San Timoteo,9.7901,-71.0708,Venezuela,VE,Zulia,minor,,
Caucagua,10.2831,-66.3759,Venezuela,VE,Miranda,minor,,
El Piñal,7.5299,-71.9592,Venezuela,VE,Táchira,minor,,
Timotes,8.9822,-70.7393,Venezuela,VE,Mérida,minor,,
Bachaquero,9.9610,-71.1197,Venezuela,VE,Zulia,minor,,
Puerto Cumarebo,11.4861,-69.3532,Venezuela,VE,Falcón,minor,,
La Tendida,8.5073,-71.8320,Venezuela,VE,Táchira,minor,,
Pueblo Nuevo El Chivo,8.9625,-71.6075,Venezuela,VE,Zulia,minor,,
Sarare,9.7813,-69.1633,Venezuela,VE,Lara,minor,,
Torondoy,9.0346,-71.0141,Venezuela,VE,Mérida,minor,,
Santa Apolonia,9.4714,-71.0121,Venezuela,VE,Trujillo,minor,,
La Concepción,10.6201,-71.8332,Venezuela,VE,Zulia,minor,,
Quiriquire,9.9795,-63.2199,Venezuela,VE,Monagas,minor,,
Cariaco,10.4968,-63.5529,Venezuela,VE,Sucre,minor,,
Casanay,10.5042,-63.4173,Venezuela,VE,Sucre,minor,,
El Cobre,8.0358,-72.0575,Venezuela,VE,Táchira,minor,,
Caripe,10.1692,-63.5100,Venezuela,VE,Monagas,minor,,
Ocumare de la Costa,10.4613,-67.7687,Venezuela,VE,Aragua,minor,,
Río Chico,10.3190,-65.9775,Venezuela,VE,Miranda,minor,,
San Simón,8.3502,-71.8511,Venezuela,VE,Táchira,minor,,
La Azulita,8.7136,-71.4442,Venezuela,VE,Mérida,minor,,
Aroa,10.4395,-68.8950,Venezuela,VE,Yaracuy,minor,,
Palmasola,10.6100,-68.5513,Venezuela,VE,Falcón,minor,,
Farriar,10.4702,-68.5588,Venezuela,VE,Yaracuy,minor,,
Yumare,10.5970,-68.6733,Venezuela,VE,Yaracuy,minor,,
Delicias,7.5623,-72.4463,Venezuela,VE,Táchira,minor,,
San Antonio,10.1191,-63.7254,Venezuela,VE,Monagas,minor,,
El Pao,9.6393,-68.1292,Venezuela,VE,Cojedes,minor,,
Tinaco,9.6667,-68.3333,Venezuela,VE,Cojedes,minor,,
Coloncito,8.3261,-72.0874,Venezuela,VE,Táchira,minor,,
Umuquena,8.2665,-72.0643,Venezuela,VE,Táchira,minor,,
Mirimire,11.1602,-68.7260,Venezuela,VE,Falcón,minor,,
Nirgua,10.0833,-68.6667,Venezuela,VE,Yaracuy,minor,,
Miranda,10.1480,-68.3959,Venezuela,VE,Carabobo,minor,,
Tucaní,8.9688,-71.2736,Venezuela,VE,Mérida,minor,,
Santo Domingo,8.8605,-70.6948,Venezuela,VE,Mérida,minor,,
Pueblo Nuevo,11.9492,-69.9225,Venezuela,VE,Falcón,minor,,
Monte Carmelo,9.1876,-70.8130,Venezuela,VE,Trujillo,minor,,
San Juan de Payara,7.6500,-67.6000,Venezuela,VE,Apure,minor,,
San Juan de los Cayos,11.1720,-68.4128,Venezuela,VE,Falcón,minor,,
Santa Bárbara,9.6072,-63.6095,Venezuela,VE,Monagas,minor,,
Carache,9.6667,-70.3333,Venezuela,VE,Trujillo,minor,,
La Villa del Rosario,10.3167,-72.3167,Venezuela,VE,Zulia,minor,,
Churuguara,10.8123,-69.5373,Venezuela,VE,Falcón,minor,,
Boca de Uchire,10.1319,-65.4224,Venezuela,VE,Anzoátegui,minor,,
Cúpira,10.1619,-65.6997,Venezuela,VE,Miranda,minor,,
Ospino,9.3333,-69.4167,Venezuela,VE,Portuguesa,minor,,
Tunapuy,10.5748,-63.1075,Venezuela,VE,Sucre,minor,,
Abejales,7.6233,-71.5103,Venezuela,VE,Táchira,minor,,
Libertad,8.3271,-69.6309,Venezuela,VE,Barinas,minor,,
Barrancas,8.7696,-70.1109,Venezuela,VE,Barinas,minor,,
Chichiriviche,10.9343,-68.2771,Venezuela,VE,Falcón,minor,,
Camaguán,8.1114,-67.6078,Venezuela,VE,Guárico,minor,,
El Playón,9.1005,-69.0456,Venezuela,VE,Portuguesa,minor,,
Clarines,9.9433,-65.1661,Venezuela,VE,Anzoátegui,minor,,
Camatagua,9.7876,-66.9062,Venezuela,VE,Aragua,minor,,
Siquisique,10.5711,-69.7017,Venezuela,VE,Lara,minor,,
Caicara,9.8175,-63.6133,Venezuela,VE,Monagas,minor,,
Barrancas,8.6989,-62.1966,Venezuela,VE,Monagas,minor,,
Dabajuro,11.0167,-70.6667,Venezuela,VE,Falcón,minor,,
Santa Cruz de Bucaral,10.8192,-69.2768,Venezuela,VE,Falcón,minor,,
Queniquea,7.9166,-72.0138,Venezuela,VE,Táchira,minor,,
San José de Bolívar,7.9124,-71.9725,Venezuela,VE,Táchira,minor,,
Tucupido,9.2730,-65.7715,Venezuela,VE,Guárico,minor,,
Santa María de Caparo,7.7141,-71.4647,Venezuela,VE,Mérida,minor,,
Guaraque,8.1535,-71.7356,Venezuela,VE,Mérida,minor,,
San Luis,11.1203,-69.6840,Venezuela,VE,Falcón,minor,,
El Sombrero,9.3863,-67.0582,Venezuela,VE,Guárico,minor,,
Mene de Mauroa,10.6809,-71.0361,Venezuela,VE,Falcón,minor,,
Cabure,11.1453,-69.6119,Venezuela,VE,Falcón,minor,,
Pregonero,8.0194,-71.7653,Venezuela,VE,Táchira,minor,,
Temblador,9.0052,-62.6449,Venezuela,VE,Monagas,minor,,
Santa Bárbara,7.8120,-71.1787,Venezuela,VE,Barinas,minor,,
El Pilar,10.5478,-63.1542,Venezuela,VE,Sucre,minor,,
El Cantón,7.4780,-71.2969,Venezuela,VE,Barinas,minor,,
Santa Ana,9.3065,-64.6629,Venezuela,VE,Anzoátegui,minor,,
Tumeremo,7.2986,-61.5050,Venezuela,VE,Bolívar,minor,,
Biruaca,7.8667,-67.5000,Venezuela,VE,Apure,minor,,
Libertad,9.3565,-68.6922,Venezuela,VE,Cojedes,minor,,
Las Vegas,9.5372,-68.6302,Venezuela,VE,Cojedes,minor,,
San José de Guaribe,9.8632,-65.8130,Venezuela,VE,Guárico,minor,,
Urumaco,11.2000,-70.2500,Venezuela,VE,Falcón,minor,,
La Cruz de Taratara,11.0630,-69.7129,Venezuela,VE,Falcón,minor,,
Barbacoas,9.4785,-66.9746,Venezuela,VE,Aragua,minor,,
San José de Guanipa,8.8833,-64.1500,Venezuela,VE,Anzoátegui,minor,,
Sierra Imataca,8.3935,-62.4544,Venezuela,VE,Delta Amacuro,minor,,
Ciudad Bolivia,8.3530,-70.5712,Venezuela,VE,Barinas,minor,,
Aragua de Barcelona,9.3167,-64.9000,Venezuela,VE,Anzoátegui,minor,,
Pariaguán,8.8436,-64.7105,Venezuela,VE,Anzoátegui,minor,,
Píritu,11.3739,-69.1372,Venezuela,VE,Falcón,minor,,
Guanarito,8.6962,-69.2083,Venezuela,VE,Portuguesa,minor,,
Encontrados,9.1781,-72.2358,Venezuela,VE,Zulia,minor,,
Canaguá,8.1249,-71.4604,Venezuela,VE,Mérida,minor,,
El Socorro,8.9959,-65.7453,Venezuela,VE,Guárico,minor,,
El Paradero,9.7728,-70.6154,Venezuela,VE,Trujillo,minor,,
Casigua El Cubo,8.7460,-72.5189,Venezuela,VE,Zulia,minor,,
Ciudad de Nutrias,8.0954,-69.3080,Venezuela,VE,Barinas,minor,,
Capatárida,11.1736,-70.6192,Venezuela,VE,Falcón,minor,,
Guayabal,8.0008,-67.3973,Venezuela,VE,Guárico,minor,,
Papelón,8.9411,-69.4602,Venezuela,VE,Portuguesa,minor,,
San Mateo,9.7400,-64.5494,Venezuela,VE,Anzoátegui,minor,,
El Chaparro,9.1520,-65.0173,Venezuela,VE,Anzoátegui,minor,,
Aguasay,9.4249,-63.7308,Venezuela,VE,Monagas,minor,,
Ortiz,9.6215,-67.2920,Venezuela,VE,Guárico,minor,,
Jacura,11.0104,-68.9227,Venezuela,VE,Falcón,minor,,
Chaguaramas,9.3361,-66.2544,Venezuela,VE,Guárico,minor,,
Las Mercedes,9.1019,-66.4000,Venezuela,VE,Guárico,minor,,
El Palmar,8.0108,-61.9071,Venezuela,VE,Bolívar,minor,,
Caicara del Orinoco,7.6350,-66.1681,Venezuela,VE,Bolívar,minor,,
Soledad,8.1621,-63.5654,Venezuela,VE,Anzoátegui,minor,,
Achaguas,7.7667,-68.2333,Venezuela,VE,Apure,minor,,
Aricagua,8.2234,-71.1371,Venezuela,VE,Mérida,minor,,
Arismendi,8.4788,-68.3710,Venezuela,VE,Barinas,minor,,
Pedregal,11.0201,-70.1200,Venezuela,VE,Falcón,minor,,
El Baúl,8.9622,-68.2951,Venezuela,VE,Cojedes,minor,,
Curiapo,8.5806,-60.9978,Venezuela,VE,Delta Amacuro,minor,,
Guasipati,7.4796,-61.8987,Venezuela,VE,Bolívar,minor,,
Pedernales,9.9715,-62.2515,Venezuela,VE,Delta Amacuro,minor,,
El Callao,7.3333,-61.8287,Venezuela,VE,Bolívar,minor,,
Santa María de Ipire,8.8156,-65.3225,Venezuela,VE,Guárico,minor,,
Elorza,7.0609,-69.4976,Venezuela,VE,Apure,minor,,
Maripa,7.4166,-65.1855,Venezuela,VE,Bolívar,minor,,
Santa Elena de Uairén,4.6019,-61.1111,Venezuela,VE,Bolívar,minor,,
Ciudad Piar,7.4521,-63.3199,Venezuela,VE,Bolívar,minor,,
Isla Ratón,5.0686,-67.8129,Venezuela,VE,Amazonas,minor,,
San Juan de Manapiare,5.3266,-66.0540,Venezuela,VE,Amazonas,minor,,
